Emp_Id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
IND01153,0.73,0.95,3,149,2,0,0,0,support,low
IND01154,0.64,0.51,4,247,2,1,0,0,support,low
IND01159,0.54,0.84,4,223,3,0,0,0,accounting,medium
IND01161,0.55,0.41,4,132,5,1,0,0,support,medium
IND01166,0.90,0.62,3,254,3,0,0,0,technical,medium
IND0117,0.89,0.79,5,257,3,0,0,0,marketing,medium
IND01170,0.85,0.98,5,222,3,0,0,1,sales,medium
IND01174,0.37,0.52,2,158,3,0,1,0,support,low
IND01175,0.11,0.94,6,264,4,0,1,0,IT,low
IND01176,0.10,0.83,6,300,4,0,1,0,marketing,medium
IND0118,0.10,0.97,7,284,4,0,1,0,support,low
IND01181,0.73,0.57,3,146,2,0,0,0,product_mng,low
IND01185,0.90,0.98,5,243,6,0,1,0,marketing,low
IND01188,0.49,0.49,3,168,7,0,0,0,sales,low
IND01189,0.89,0.81,3,186,3,0,0,0,product_mng,medium
IND01190,0.77,0.49,4,217,2,0,0,0,support,medium
IND01195,0.87,0.75,3,132,3,0,0,0,technical,medium
IND01198,0.58,0.71,3,230,3,1,0,0,sales,medium
IND01202,0.37,0.92,4,211,7,0,0,0,sales,high
IND01205,0.55,0.62,5,184,4,0,0,0,marketing,medium
IND01209,0.84,0.41,6,255,6,1,0,0,sales,medium
IND01213,0.47,0.76,6,174,10,0,0,0,IT,medium
IND01217,0.11,0.83,6,306,4,0,1,0,support,low
IND0122,0.72,0.68,5,162,5,0,0,0,marketing,low
IND01221,0.55,0.49,3,146,2,0,0,0,technical,medium
IND01222,0.10,0.77,7,250,5,0,1,0,RandD,medium
IND01225,0.50,0.87,5,245,2,0,0,0,technical,low
IND01229,0.63,0.72,2,161,5,0,0,0,hr,medium
IND01230,0.52,0.72,4,186,2,0,0,0,sales,medium
IND01232,0.43,0.38,3,119,2,0,0,0,sales,low
IND01235,0.16,0.63,5,266,7,0,0,0,IT,low
IND01236,0.71,0.92,4,248,3,1,0,0,sales,low
IND01241,0.22,0.52,6,175,4,0,0,0,technical,medium
IND01242,0.78,0.60,4,143,2,0,0,1,sales,medium
IND01247,0.30,0.76,5,224,2,0,0,0,product_mng,medium
IND01248,0.09,0.78,6,254,4,0,1,0,support,low
IND01250,0.52,0.68,4,233,2,0,0,0,technical,medium
IND01255,0.68,0.49,3,178,3,1,0,0,RandD,low
IND01259,0.84,0.75,3,184,3,0,0,0,sales,medium
IND01262,0.72,0.67,3,243,3,0,0,0,sales,low
IND01264,0.45,0.57,2,134,3,0,1,0,sales,low
IND01267,0.66,0.65,3,272,10,0,0,0,IT,medium
IND0127,0.99,0.97,3,257,2,0,0,0,marketing,medium
IND01271,0.53,0.85,3,236,6,0,0,0,sales,medium
IND01274,0.81,0.75,5,170,3,1,0,0,product_mng,medium
IND01277,0.70,0.86,3,141,2,1,0,0,sales,medium
IND01282,0.63,0.75,4,175,4,0,0,0,hr,medium
IND01283,0.57,0.67,3,207,2,0,0,0,technical,medium
IND01287,0.72,0.89,3,221,3,0,0,0,sales,low
IND01291,0.62,0.85,4,225,2,0,0,0,management,high
IND01295,0.71,0.54,4,188,6,0,0,0,technical,low
IND01298,0.75,0.77,4,204,2,0,0,0,support,low
IND013,0.93,0.96,4,223,3,1,0,0,support,high
IND01300,0.65,0.60,3,148,2,0,0,0,technical,low
IND01301,0.82,0.62,4,160,3,0,0,0,sales,medium
IND01304,0.66,0.74,4,270,2,1,0,0,sales,low
IND01307,1.00,0.68,3,132,2,0,0,0,sales,medium
IND01312,0.44,0.53,2,152,3,0,1,0,IT,medium
IND01315,0.80,0.79,5,240,4,0,0,0,IT,medium
IND01316,0.11,0.93,6,294,4,0,1,0,sales,medium
IND01319,0.49,0.63,3,245,4,0,0,0,support,low
IND0132,0.75,0.66,4,202,2,0,0,0,support,low
IND01324,0.44,0.48,2,143,3,0,1,0,technical,medium
IND01326,0.38,0.49,2,132,3,0,1,0,support,low
IND0133,0.78,0.72,4,219,3,0,0,0,hr,medium
IND01331,0.89,1.00,4,237,5,0,1,0,support,medium
IND01334,0.85,0.99,3,201,3,0,0,0,RandD,medium
IND01339,0.71,0.65,4,239,3,0,0,0,technical,low
IND01342,0.71,0.39,3,261,3,0,0,0,RandD,medium
IND01347,0.90,0.56,3,220,3,0,0,0,sales,low
IND01348,0.57,0.78,3,109,3,1,0,0,sales,low
IND01350,0.65,0.65,4,224,3,0,0,0,sales,low
IND01355,0.88,0.96,5,173,4,0,0,0,accounting,medium
IND01356,0.46,0.45,2,172,2,1,0,0,management,low
IND0136,0.68,0.51,3,185,3,0,0,0,marketing,medium
IND01360,0.88,0.85,4,231,3,0,0,0,product_mng,low
IND01362,0.79,0.50,4,252,3,1,0,0,hr,medium
IND01367,0.61,0.39,3,99,2,0,0,0,support,low
IND01371,0.66,0.63,6,223,6,0,0,0,sales,medium
IND01372,0.88,0.88,5,248,5,0,1,0,technical,medium
IND01373,0.63,0.49,5,192,2,0,0,0,sales,low
IND01378,0.38,0.56,2,156,3,0,1,0,technical,low
IND0138,0.09,0.77,6,244,4,0,1,0,product_mng,low
IND01381,0.91,0.67,3,257,2,0,0,0,sales,low
IND01382,0.99,0.56,5,210,2,0,0,0,RandD,medium
IND01387,0.28,0.83,4,162,3,0,0,0,sales,low
IND01389,0.11,0.89,6,268,4,0,1,0,IT,medium
IND01391,0.11,0.86,6,286,4,0,1,0,support,low
IND01393,0.94,0.91,3,163,3,0,0,0,support,medium
IND01397,0.60,0.66,5,143,2,0,0,0,technical,low
IND0140,0.69,0.57,5,245,2,1,0,0,sales,low
IND01401,0.64,0.85,5,179,2,0,0,0,sales,low
IND01402,0.66,0.93,4,248,3,0,0,0,management,high
IND01406,0.59,0.37,3,125,2,0,0,0,RandD,medium
IND01408,0.88,0.98,3,152,3,0,0,0,support,medium
IND01411,0.97,0.79,2,272,2,0,0,0,sales,medium
IND01413,0.45,0.51,2,147,3,0,1,0,sales,low
IND01414,0.49,0.91,3,227,3,0,0,0,sales,medium
IND01418,0.11,0.83,6,244,4,0,1,0,hr,medium
IND01421,0.59,0.72,4,168,4,0,0,0,management,medium
IND01422,0.78,0.91,3,177,2,0,0,0,sales,high
IND01426,0.64,0.67,5,198,2,1,0,0,support,medium
IND01427,0.55,0.96,4,267,3,0,0,0,sales,medium
IND0143,0.74,0.84,5,249,5,0,1,0,product_mng,medium
IND01432,0.63,0.51,4,153,4,0,0,0,RandD,low
IND01434,0.60,0.73,5,241,3,0,0,0,sales,high
IND01439,0.42,0.69,3,126,2,0,0,0,sales,low
IND01441,0.43,0.45,2,135,3,0,1,0,marketing,low
IND01442,0.46,0.50,2,146,3,0,1,0,IT,medium
IND01445,0.57,0.46,2,100,6,1,0,1,marketing,medium
IND0145,0.80,0.74,4,221,4,0,0,0,product_mng,low
IND01450,0.80,0.83,2,211,3,0,1,0,support,low
IND01452,0.53,0.51,3,274,2,1,0,0,product_mng,medium
IND01457,0.36,0.48,2,152,3,0,1,0,product_mng,medium
IND0146,0.85,0.59,5,236,3,0,0,0,sales,low
IND01460,0.45,0.54,2,135,3,0,1,0,sales,low
IND01465,0.66,0.54,5,203,2,0,0,0,sales,medium
IND01469,0.39,0.48,2,141,3,0,1,0,product_mng,medium
IND01474,0.43,0.51,5,168,4,0,0,0,product_mng,medium
IND01476,0.76,0.81,4,242,2,0,0,0,IT,low
IND01477,0.10,0.81,7,291,4,0,1,0,sales,high
IND01478,0.86,0.51,3,230,3,0,0,0,support,medium
IND01480,0.55,0.62,5,197,2,0,0,0,technical,low
IND01485,0.39,0.48,3,190,2,0,0,0,technical,low
IND01489,0.10,0.84,6,286,4,0,1,0,product_mng,low
IND01491,0.22,0.52,5,109,4,0,0,0,product_mng,low
IND01493,0.86,0.87,5,171,2,0,0,0,sales,low
IND01497,0.41,0.46,2,151,3,0,1,0,product_mng,low
IND01502,0.96,0.85,4,200,4,0,0,0,technical,medium
IND01506,0.52,0.58,4,134,3,0,0,0,technical,low
IND0151,0.56,0.66,5,155,2,0,0,0,sales,medium
IND01511,0.44,0.50,2,128,3,0,1,0,support,low
IND01516,0.70,0.63,3,209,3,0,0,0,technical,low
IND01521,0.15,0.81,3,191,5,0,0,0,management,medium
IND01522,0.69,0.57,5,227,4,0,0,0,IT,low
IND01524,0.79,0.93,5,268,5,0,1,0,technical,medium
IND01527,0.80,0.74,2,205,3,1,0,0,sales,low
IND01528,0.82,0.83,4,245,5,1,1,0,sales,low
IND01529,0.93,0.88,4,261,4,0,0,0,sales,medium
IND01531,0.62,0.91,3,195,3,0,0,0,sales,medium
IND01535,0.53,0.73,3,163,3,1,0,0,IT,low
IND01538,0.37,0.71,6,266,5,0,0,0,IT,low
IND0154,1.00,0.93,5,231,2,0,0,0,marketing,medium
IND01540,0.75,0.76,3,246,3,0,0,0,sales,medium
IND01541,0.89,0.89,5,179,2,0,0,0,technical,low
IND01545,0.70,0.76,4,173,2,0,0,0,support,medium
IND01547,0.85,0.82,4,270,5,0,1,0,sales,low
IND01550,0.94,0.69,2,198,3,0,0,0,technical,low
IND01554,0.71,0.37,2,179,5,0,0,1,support,low
IND01559,0.10,0.80,7,292,5,0,1,0,IT,low
IND01564,0.53,0.75,6,192,6,0,0,0,hr,medium
IND01566,0.59,0.71,2,176,2,1,0,0,sales,medium
IND01567,0.10,0.87,6,290,4,0,1,0,support,low
IND01572,0.38,0.45,2,156,3,0,1,0,sales,medium
IND01574,0.43,0.57,2,160,3,0,1,0,technical,medium
IND01579,0.94,0.99,2,157,3,0,0,0,sales,medium
IND0158,0.71,0.87,3,271,2,0,0,0,accounting,medium
IND01584,0.10,0.93,7,258,4,0,1,0,technical,low
IND01589,0.50,0.95,5,137,3,0,0,0,sales,medium
IND01593,0.50,0.49,4,236,3,0,0,0,technical,medium
IND01595,0.97,0.58,4,187,4,1,0,0,management,high
IND01597,0.67,0.68,4,171,3,0,0,0,sales,low
IND01598,0.87,1.00,4,228,5,0,1,0,support,medium
IND01599,0.97,0.74,4,209,2,0,0,0,sales,low
IND01601,0.89,0.68,3,175,2,0,0,0,sales,low
IND01604,0.62,0.59,3,128,3,0,0,0,RandD,medium
IND01608,0.38,0.54,2,135,3,0,1,0,technical,medium
IND01609,0.09,0.96,6,268,4,0,1,0,technical,medium
IND0161,0.92,0.99,5,236,4,0,0,0,sales,medium
IND01610,0.87,0.57,4,227,3,0,0,0,product_mng,low
IND01613,0.61,1.00,5,139,2,0,0,0,sales,medium
IND01618,0.64,0.56,3,238,2,0,0,0,IT,medium
IND01621,0.68,0.55,4,215,4,0,0,0,sales,high
IND01625,0.51,0.56,4,198,2,1,0,0,technical,medium
IND01628,0.74,0.55,4,262,3,0,0,0,support,low
IND01633,0.80,0.74,5,229,3,1,0,0,technical,low
IND01638,0.51,0.64,3,203,3,0,0,0,sales,low
IND01642,0.49,0.36,2,192,3,0,0,0,sales,low
IND01644,0.87,0.71,4,157,2,0,0,0,hr,medium
IND01648,0.86,0.57,4,183,3,0,0,0,sales,low
IND0165,0.78,0.87,4,228,5,0,1,0,support,low
IND01653,0.54,0.55,4,252,3,0,0,0,RandD,medium
IND01655,0.95,0.81,5,210,4,0,0,0,sales,medium
IND01656,0.36,0.57,2,142,3,0,1,0,product_mng,medium
IND01660,0.28,0.59,6,281,3,0,0,0,product_mng,medium
IND01665,0.10,0.96,7,301,4,0,1,0,hr,low
IND01670,0.74,0.61,3,231,2,0,0,0,support,medium
IND01675,0.60,0.52,3,183,2,0,0,0,support,low
IND01676,0.40,0.46,2,127,3,0,1,0,hr,medium
IND0168,0.70,0.48,4,229,2,0,0,0,technical,high
IND01681,0.42,0.58,2,140,3,0,0,0,IT,low
IND01685,0.57,0.91,4,224,10,0,0,0,sales,medium
IND01688,0.38,0.50,2,152,3,0,1,0,sales,high
IND01693,0.54,0.61,3,182,2,0,0,0,sales,low
IND01695,0.58,0.69,4,165,3,0,0,0,technical,low
IND0170,0.14,0.90,4,198,4,0,0,0,technical,medium
IND01700,0.58,0.72,4,170,2,0,0,0,sales,medium
IND01705,0.10,0.94,6,287,4,0,1,0,technical,medium
IND01707,0.91,0.89,4,197,4,0,0,0,marketing,medium
IND01708,0.40,0.51,2,136,3,0,1,0,product_mng,low
IND01709,0.64,0.70,5,140,4,0,0,0,support,medium
IND01711,0.78,0.93,4,225,5,0,1,0,sales,medium
IND01712,0.94,0.73,3,196,3,0,0,0,hr,medium
IND01716,1.00,0.49,4,227,3,1,0,0,IT,medium
IND01720,0.63,0.57,4,177,3,1,0,0,sales,low
IND01724,0.51,0.66,4,182,2,0,0,0,sales,medium
IND01728,0.41,0.71,3,205,4,0,1,0,marketing,low
IND0173,0.89,0.55,4,159,2,0,0,0,sales,medium
IND01733,0.37,0.51,2,132,3,0,1,0,technical,medium
IND01738,0.96,0.68,3,206,3,0,0,0,sales,medium
IND01739,0.98,1.00,4,202,3,0,0,0,support,low
IND0174,0.55,0.49,3,205,3,0,0,0,sales,medium
IND01741,0.91,0.87,3,199,3,0,0,0,sales,medium
IND01746,0.87,0.91,5,228,5,0,1,0,support,low
IND01748,0.55,0.46,4,226,5,0,0,0,sales,low
IND0175,0.40,0.52,2,155,3,0,1,0,marketing,low
IND01752,0.61,0.89,3,242,10,0,0,0,sales,high
IND01756,0.86,0.93,5,208,2,0,0,0,IT,low
IND01760,0.34,0.41,2,141,3,0,0,0,technical,medium
IND01761,0.18,0.90,4,282,4,0,0,0,product_mng,medium
IND01763,0.74,0.62,3,216,3,1,0,0,sales,low
IND01768,0.79,0.87,4,223,5,0,0,0,sales,medium
IND0177,0.32,0.64,3,151,3,0,0,0,support,low
IND01773,0.76,0.92,4,246,5,0,1,0,sales,low
IND01775,0.86,0.77,5,230,2,0,0,0,sales,medium
IND01776,0.43,0.77,3,237,3,1,0,0,technical,low
IND01781,0.63,0.70,5,182,3,0,0,0,sales,medium
IND01784,0.40,0.51,2,145,3,0,1,0,hr,low
IND01788,0.72,0.72,4,175,4,0,0,0,technical,low
IND01790,0.74,0.89,4,267,5,0,1,0,sales,medium
IND01794,0.48,0.55,3,228,2,0,0,0,support,low
IND01796,0.62,0.53,4,147,2,0,0,0,hr,low
IND01799,0.51,0.72,4,163,4,0,0,1,sales,medium
IND018,0.71,0.93,5,140,8,0,0,0,marketing,medium
IND01803,0.22,0.64,3,193,2,0,0,0,technical,low
IND01808,0.80,0.53,3,245,3,0,0,0,sales,medium
IND0181,0.64,0.69,3,207,2,1,0,0,IT,low
IND01810,0.14,0.57,4,207,5,0,0,0,sales,low
IND01811,0.68,1.00,4,185,2,1,0,0,sales,low
IND01816,0.83,0.85,5,237,5,0,1,0,marketing,medium
IND0182,0.64,0.71,3,231,4,0,0,0,technical,medium
IND01820,0.88,0.87,4,235,6,0,1,0,management,low
IND01824,0.95,0.75,4,203,3,0,0,0,hr,low
IND01826,0.80,0.82,4,271,4,0,0,0,sales,low
IND01830,0.51,0.92,3,243,3,0,0,0,marketing,low
IND01831,0.88,1.00,5,226,6,0,1,0,marketing,low
IND01835,0.13,0.78,6,152,2,0,1,0,support,low
IND01839,0.45,0.60,2,98,3,0,0,0,product_mng,low
IND01841,0.89,0.96,3,179,8,0,0,0,management,high
IND01843,0.10,0.97,7,306,4,0,1,0,marketing,low
IND01847,0.09,0.95,6,271,4,0,1,0,sales,low
IND0185,0.63,0.76,4,217,2,1,0,0,IT,medium
IND01852,0.38,0.49,2,145,3,0,1,0,IT,low
IND01853,0.31,0.61,4,97,2,0,0,0,support,low
IND01854,0.60,0.88,3,261,3,1,0,0,marketing,medium
IND01855,0.81,0.75,5,101,5,0,0,0,sales,medium
IND01856,0.52,0.38,2,103,3,0,0,0,support,medium
IND01857,0.88,1.00,5,219,5,0,1,0,technical,low
IND01862,0.78,0.97,4,142,3,0,0,0,sales,low
IND01864,0.40,0.46,2,149,3,0,1,0,technical,medium
IND01868,0.98,0.56,3,157,2,0,0,0,management,low
IND0187,0.97,0.50,3,216,3,0,0,0,IT,low
IND01873,0.68,0.67,3,228,2,0,0,0,RandD,medium
IND01874,0.71,0.50,3,201,2,0,0,0,sales,low
IND01877,0.75,0.92,3,199,3,1,0,0,management,low
IND01881,0.11,0.80,6,282,4,0,1,0,technical,medium
IND01882,0.55,0.40,3,139,8,0,0,1,hr,medium
IND01887,0.45,0.50,2,145,3,0,1,0,product_mng,medium
IND01892,0.74,0.67,5,140,3,0,0,0,hr,medium
IND01894,0.85,0.82,4,270,5,0,1,0,sales,low
IND01899,0.63,0.61,3,234,3,1,0,0,technical,medium
IND01902,0.88,0.51,3,211,7,0,0,0,sales,medium
IND01903,0.70,0.83,3,189,3,0,0,0,accounting,low
IND01907,0.44,0.47,2,156,3,1,1,0,sales,medium
IND01909,0.94,0.76,4,231,3,1,0,0,RandD,high
IND01911,0.23,0.70,5,168,4,0,1,0,support,low
IND01915,0.83,0.92,5,267,6,0,1,0,support,low
IND01918,0.37,0.45,2,131,3,0,1,0,sales,low
IND0192,0.49,0.76,3,257,2,1,0,0,marketing,medium
IND01923,0.67,0.49,3,247,10,0,0,0,sales,medium
IND01928,0.91,0.74,3,150,2,0,0,0,accounting,medium
IND01932,0.55,0.90,4,199,3,0,0,0,accounting,low
IND01935,0.50,0.90,4,171,2,0,0,0,hr,low
IND01939,0.87,1.00,5,242,5,0,1,0,sales,low
IND01944,0.99,0.92,4,229,2,0,0,0,technical,medium
IND01948,0.82,0.63,3,171,3,0,0,0,sales,medium
IND0195,0.45,0.46,2,128,3,0,1,0,sales,low
IND01953,0.46,0.88,5,169,3,0,0,0,management,medium
IND01955,0.52,0.86,5,168,3,0,0,0,RandD,medium
IND01958,0.10,0.93,6,298,4,0,1,0,technical,medium
IND01961,0.89,1.00,4,217,5,0,1,0,sales,medium
IND01962,0.42,0.54,2,130,3,0,1,0,support,medium
IND01967,0.41,0.68,3,191,4,0,0,0,sales,medium
IND01969,0.80,0.80,3,175,2,0,0,0,RandD,medium
IND01972,0.43,0.46,2,157,3,0,1,0,sales,medium
IND01974,0.59,0.52,2,149,3,0,0,0,accounting,medium
IND01976,0.57,0.81,4,200,3,1,0,0,IT,medium
IND01977,0.53,0.81,3,253,3,0,0,0,marketing,medium
IND01978,0.20,0.90,3,218,4,0,0,0,sales,low
IND01983,0.79,0.96,5,218,5,0,1,0,support,medium
IND01988,0.99,0.98,4,259,3,0,0,0,IT,low
IND01989,0.43,0.48,2,153,3,0,1,0,accounting,low
IND01994,0.79,0.85,4,100,6,0,0,0,support,medium
IND01997,0.86,0.87,3,268,2,0,0,0,sales,high
IND0200,0.79,1.00,4,218,5,0,1,0,sales,low
IND02002,0.57,0.46,3,167,4,0,0,0,technical,medium
IND02007,0.63,0.96,3,144,2,0,0,0,technical,medium
IND02010,0.82,0.84,3,139,2,1,0,0,sales,low
IND02012,0.43,0.53,2,160,3,0,1,0,support,low
IND02017,0.10,0.89,7,285,4,0,1,0,IT,low
IND02020,0.72,0.66,3,134,3,0,0,0,accounting,medium
IND02024,0.69,0.82,4,208,2,0,0,0,support,medium
IND02025,0.95,0.86,3,207,2,0,0,0,technical,low
IND02028,0.37,0.46,2,149,3,0,1,0,IT,low
IND02029,0.64,0.72,4,253,4,0,0,0,RandD,high
IND02033,0.54,0.74,4,164,2,0,1,0,sales,low
IND02038,0.69,0.59,4,264,3,0,0,0,sales,medium
IND02043,0.73,0.91,3,135,2,0,0,0,hr,medium
IND02044,0.99,0.92,3,154,3,0,0,0,technical,medium
IND02048,0.53,0.61,3,148,10,0,0,0,management,high
IND0205,0.73,1.00,2,229,3,0,0,0,marketing,medium
IND02052,0.83,0.57,4,232,3,0,0,0,sales,medium
IND02056,0.76,0.91,4,219,5,0,1,0,sales,low
IND02057,0.54,0.49,2,155,2,1,0,0,marketing,medium
IND02059,0.93,0.92,3,205,3,0,0,0,sales,medium
IND0206,0.96,0.59,6,133,5,0,0,0,sales,medium
IND02063,0.67,0.72,4,192,3,1,0,0,support,medium
IND02067,0.77,0.82,4,134,3,0,0,1,sales,low
IND0207,0.97,0.67,2,147,2,0,0,0,sales,medium
IND02070,0.89,0.64,4,151,5,0,0,0,sales,high
IND02074,0.61,0.62,3,240,3,0,0,0,IT,low
IND02079,0.51,0.52,5,261,3,1,0,0,RandD,low
IND0208,0.56,0.41,2,194,2,0,0,0,sales,medium
IND02080,0.69,0.63,3,226,3,0,0,0,sales,low
IND02083,0.57,0.69,3,212,8,0,0,0,product_mng,low
IND02087,0.52,0.80,3,252,4,0,0,0,product_mng,low
IND02088,0.74,0.98,3,166,3,1,0,1,management,high
IND02090,0.46,0.55,2,147,3,0,1,0,product_mng,medium
IND02093,0.43,0.56,2,158,3,0,1,0,IT,low
IND02095,0.44,0.45,6,237,6,0,0,0,support,medium
IND02098,0.39,0.53,2,127,3,0,1,0,sales,medium
IND02099,0.83,0.90,5,245,5,0,1,0,product_mng,low
IND0210,0.92,0.89,4,241,5,0,1,0,technical,low
IND02103,0.87,0.60,5,165,2,1,0,0,marketing,high
IND02105,0.21,0.63,5,226,3,0,0,0,support,medium
IND02109,0.75,0.99,5,221,5,0,1,0,product_mng,low
IND02111,0.47,0.41,2,140,3,0,0,0,hr,medium
IND02115,0.73,0.92,5,232,5,0,1,0,sales,low
IND02117,0.91,0.85,5,214,2,0,0,0,IT,low
IND02118,0.82,0.71,3,150,3,0,0,0,support,medium
IND02123,0.94,0.70,6,217,5,0,0,0,sales,low
IND02127,0.49,0.80,2,275,2,0,0,0,sales,low
IND02132,0.96,0.90,4,164,4,0,0,0,IT,low
IND02133,0.49,0.88,4,244,3,0,0,0,sales,low
IND02135,0.95,0.71,3,263,2,1,0,0,sales,medium
IND02137,0.56,0.74,3,265,3,0,0,0,support,medium
IND02140,0.73,0.55,4,171,4,0,0,0,sales,medium
IND02143,0.46,0.53,2,129,3,0,1,0,technical,low
IND02147,0.99,0.72,3,119,2,1,0,0,marketing,low
IND0215,0.73,0.72,3,166,3,0,0,0,technical,medium
IND02151,0.87,0.90,5,258,5,0,1,0,support,low
IND02156,0.61,0.89,2,287,4,0,0,0,sales,medium
IND02157,0.89,0.91,5,156,4,0,0,0,sales,medium
IND02158,0.39,0.57,2,142,3,0,1,0,accounting,medium
IND02163,0.89,1.00,5,246,5,0,1,0,sales,low
IND02167,0.88,1.00,5,219,5,0,1,0,technical,low
IND02170,0.42,0.48,2,143,3,0,1,0,sales,low
IND02174,0.10,0.84,6,286,4,0,1,0,product_mng,low
IND02179,0.44,0.51,2,140,3,0,1,0,hr,medium
IND02182,0.34,0.67,4,141,2,0,1,0,sales,low
IND02183,0.72,0.88,3,189,3,1,0,0,management,high
IND02184,0.50,0.56,3,164,3,0,0,0,accounting,medium
IND02188,0.80,0.86,5,262,6,0,1,0,sales,medium
IND0219,0.63,0.71,4,244,2,0,0,0,support,low
IND02190,0.48,0.61,2,121,2,0,0,0,RandD,medium
IND02193,0.74,0.78,5,216,2,0,0,0,sales,low
IND02198,0.40,0.54,2,148,3,0,1,0,support,low
IND022,0.88,0.84,3,266,3,0,0,0,accounting,low
IND02200,0.51,0.50,2,235,2,0,0,0,technical,medium
IND02203,0.50,0.91,3,240,2,0,0,0,sales,medium
IND02206,0.86,0.99,3,169,2,1,0,0,sales,low
IND02208,0.53,0.70,4,155,5,1,0,0,support,low
IND02212,0.81,0.97,5,243,5,0,1,0,support,medium
IND02215,0.58,0.77,4,140,3,0,0,0,RandD,low
IND02216,0.18,0.59,4,132,3,0,0,0,RandD,low
IND02219,0.72,0.75,3,166,3,0,0,1,sales,high
IND0222,0.84,0.79,4,258,4,0,0,0,support,low
IND02224,0.52,0.61,5,162,3,0,0,0,marketing,high
IND02225,0.84,0.62,4,152,3,0,0,0,technical,medium
IND02228,0.77,1.00,4,272,5,0,1,0,sales,medium
IND02230,0.71,0.97,5,208,8,1,0,0,management,medium
IND02231,0.99,0.68,4,235,3,0,0,0,product_mng,low
IND02236,0.37,0.49,2,151,3,0,1,0,sales,low
IND0224,0.81,0.84,5,258,5,0,1,0,support,medium
IND02240,0.41,0.45,2,150,3,0,1,0,support,medium
